,totalid
"301521,7393852",2.0
"301522,7387372",3.0
"301525,7387861",1.0
"301529,7387843",2.0
"301545,7397332",1.0
"301552,7407753",2.0
"301561,7393064",1.0
"301562,7386976",2.0
"301568,7387499",4.0
"301583,7393895",1.0
"301592,7387058",2.0
"301611,7395108",2.0
"301615,7387405",3.0
"301619,7359842",1.0
"301634,7393464",1.0
"301641,7359774",11.0
"301654,7387388",2.0
"301655,7393286",4.0
"301661,7360430",6.0
"301666,7359889",5.0
"301676,7395100",2.0
"301678,7392513",12.0
"301681,7360617",1.0
"301682,7401035",1.0
"301688,7396525",2.0
"301688,7400551",1.0
"301692,7360627",15.0
"301696,7395596",4.0
"301699,7395600",2.0
"301700,7397303",2.0
"301702,7360319",8.0
"301703,7393655",6.0
"301704,7397301",2.0
"301709,7360660",7.0
"301711,7395604",1.0
"301721,7360444",9.0
"301724,7386977",4.0
"301724,7397332",2.0
"301726,7394504",2.0
"301728,7360105",4.0
"301731,7395052",5.0
"301734,7387965",1.0
"301743,7395227",4.0
"301759,7393574",2.0
"301771,7395794",6.0
"301777,7397023",2.0
"301782,7359935",2.0
"301787,7393351",2.0
"301788,7394065",4.0
"301824,7397034",1.0
"301827,7360662",8.0
"301829,7397035",1.0
"301833,7393773",2.0
"301858,7393871",4.0
"301863,7360631",7.0
"301865,7385057",5.0
"301869,7386864",6.0
"301874,7387962",2.0
"301875,7360669",2.0
"301876,7395383",2.0
"301878,7393868",8.0
"301878,7395057",5.0
"301880,7392635",6.0
"301887,7359487",6.0
"301899,7385156",6.0
"301899,7385263",8.0
"301909,7407543",2.0
"301914,7392584",6.0
"301914,7393778",3.0
"301915,7386888",2.0
"301924,7360625",1.0
"301927,7395671",1.0
"301930,7360619",2.0
"301933,7360637",4.0
"301936,7397312",2.0
"301943,7360636",11.0
"301953,7394178",2.0
"301955,7360623",1.0
"301958,7393302",2.0
"301969,7360601",1.0
"301973,7360595",3.0
"301976,7394119",1.0
"301976,7394139",2.0
"301976,7395613",2.0
"301989,7393666",7.0
"302004,7388076",2.0
"302006,7394155",2.0
"302015,7395479",4.0
"302019,7394156",2.0
"302020,7395472",4.0
"302027,7360720",2.0
"302027,7397046",2.0
"302029,7393885",5.0
"302033,7397044",2.0
"302034,7394346",3.0
"302035,7385241",11.0
"302038,7360030",8.0
"302042,7392947",23.0
"302048,7395679",7.0
"302048,7397279",1.0
"302049,7360698",1.0
"302050,7360693",6.0
"302051,7360690",2.0
"302051,7360691",1.0
"302051,7360692",2.0
"302051,7360697",2.0
"302052,7360691",4.0
"302054,7360884",4.0
"302061,7360582",1.0
"302070,7392609",8.0
"302072,7393998",4.0
"302073,7388193",4.0
"302078,7360725",4.0
"302078,7394133",7.0
"302080,7394700",3.0
"302081,7360090",7.0
"302082,7386766",2.0
"302083,7361074",12.0
"302083,7361075",2.0
"302083,7361076",1.0
"302084,7395554",2.0
"302085,7387387",6.0
"302088,7394953",2.0
"302094,7395575",2.0
"302107,7360619",2.0
"302111,7395478",1.0
"302115,7360612",1.0
"302117,7385310",4.0
"302118,7360615",3.0
"302121,7395447",2.0
"302134,7394157",1.0
"302150,7395445",1.0
"302153,7393231",2.0
"302157,7395352",1.0
"302158,7395398",3.0
"302159,7408102",3.0
"302166,7360559",3.0
"302168,7360670",2.0
"302174,7393681",9.0
"302178,7388335",14.0
"302183,7395322",2.0
"302194,7395708",1.0
"302222,7360686",4.0
"302228,7395260",2.0
"302233,7360623",3.0
"302238,7385036",1.0
"302238,7395360",1.0
"302244,7394110",3.0
"302252,7395215",2.0
"302257,7395268",1.0
"302266,7393701",19.0
"302270,7395214",4.0
"302275,7394793",3.0
"302276,7385910",10.0
"302277,7384990",3.0
"302277,7395176",2.0
"302278,7394798",4.0
"302281,7387294",2.0
"302283,7387515",3.0
"302293,7394408",1.0
"302294,7387437",2.0
"302296,7395269",4.0
"302298,7360718",2.0
"302301,7394419",1.0
"302305,7385852",2.0
"302306,7394060",2.0
"302315,7395137",2.0
"302316,7394053",2.0
"302336,7385893",3.0
"302341,7395382",2.0
"302341,7395564",5.0
"302342,7386135",4.0
"302352,7384715",6.0
"302355,7394972",2.0
"302361,7395414",1.0
"302366,7388424",7.0
"302367,7394468",2.0
"302369,7395068",1.0
"302370,7394501",2.0
"302386,7393399",1.0
"302391,7395393",2.0
"302394,7360774",1.0
"302394,7384942",6.0
"302394,7392645",1.0
"302399,7393104",6.0
"302402,7394858",3.0
"302404,7395179",6.0
"302428,7394408",2.0
"302429,7388354",1.0
"302429,7393388",4.0
"302429,7402569",1.0
"302431,7395067",1.0
"302432,7360779",5.0
"302435,7418158",4.0
"302444,7387502",7.0
"302452,7360778",1.0
"302453,7394813",4.0
"302457,7360795",3.0
"302460,7394708",1.0
"302463,7386342",5.0
"302479,7360795",1.0
"302483,7394765",25.0
"302486,7394648",1.0
"302493,7397878",2.0
"302501,7394665",1.0
"302506,7394669",2.0
"302511,7394056",1.0
"302521,7392904",2.0
"302532,7392863",4.0
"302537,7394513",1.0
"302540,7361014",4.0
"302542,7394606",1.0
"302546,7393754",2.0
"302554,7394275",6.0
"302556,7418164",12.0
"302557,7394498",7.0
"302559,7394909",1.0
"302567,7395963",5.0
"302572,7360826",6.0
"302577,7395367",2.0
"302579,7416962",2.0
"302588,7395871",9.0
"302601,7355151",16.0
"302606,7387541",4.0
"302611,7394845",1.0
"302614,7394738",1.0
"302617,7395221",2.0
"302627,7388356",1.0
"302627,7394867",14.0
"302632,7395472",2.0
"302640,7387234",3.0
"302640,7393032",2.0
"302644,7394725",1.0
"302651,7418207",7.0
"302652,7387635",8.0
"302662,7394379",6.0
"302667,7419106",2.0
"302669,7419131",20.0
"302671,7378466",6.0
"302676,7355205",9.0
"302681,7388313",3.0
"302688,7388359",1.0
"302688,7394248",2.0
"302691,7394765",1.0
"302693,7394931",2.0
"302702,7394642",4.0
"302711,7378441",3.0
"302727,7394661",2.0
"302729,7394768",1.0
"302730,7394576",2.0
"302730,7394743",6.0
"302732,7394260",1.0
"302740,7364363",2.0
"302758,7388372",3.0
"302758,7392250",1.0
"302775,7387865",2.0
"302777,7418236",4.0
"302793,7393261",1.0
"302797,7392642",8.0
"302802,7393732",3.0
"302810,7393751",2.0
"302813,7393754",2.0
"302820,7394773",1.0
"302825,7387835",3.0
"302829,7418944",6.0
"302835,7394462",2.0
"302862,7378388",2.0
"302862,7386596",8.0
"302862,7396955",2.0
"302862,7406163",1.0
"302877,7387814",10.0
"302884,7387367",1.0
"302906,7394736",2.0
"302908,7394746",1.0
"302915,7395130",5.0
"302923,7393441",7.0
"302924,7364577",19.0
"302925,7401098",5.0
"302931,7394451",2.0
"302932,7378581",2.0
"302932,7393653",2.0
"302934,7417355",2.0
"302939,7359798",6.0
"302955,7388369",2.0
"302969,7393364",2.0
"302983,7398612",2.0
"302986,7398600",2.0
"302988,7398585",1.0
"302990,7398574",4.0
"302991,7378679",2.0
"302999,7405843",5.0
"303000,7392788",7.0
"303010,7400084",4.0
"303016,7393001",5.0
"303020,7396581",3.0
"303023,7398405",24.0
"303024,7388326",1.0
"303036,7387737",4.0
"303042,7387954",2.0
"303055,7392764",7.0
"303066,7396741",18.0
"303070,7393943",4.0
"303073,7390686",4.0
"303081,7396993",1.0
"303083,7392680",1.0
"303089,7388309",2.0
"303089,7397470",2.0
"303090,7398787",2.0
"303091,7406268",6.0
"303094,7388372",1.0
"303095,7397787",2.0
"303109,7387461",3.0
"303111,7388013",2.0
"303119,7405629",6.0
"303120,7393750",7.0
"303124,7406246",2.0
"303127,7398052",2.0
"303130,7395287",4.0
"303137,7397999",2.0
"303138,7388313",2.0
"303150,7395354",2.0
"303157,7362135",5.0
"303158,7417114",6.0
"303159,7387765",4.0
"303162,7387957",4.0
"303167,7395906",2.0
"303167,7398911",2.0
"303176,7388220",2.0
"303189,7399955",4.0
"303197,7387500",2.0
"303199,7394485",3.0
"303203,7406030",2.0
"303216,7387841",2.0
"303224,7396265",4.0
"303225,7388272",2.0
"303235,7388273",4.0
"303238,7406103",2.0
"303242,7392960",10.0
"303246,7362316",5.0
"303249,7378403",7.0
"303264,7395242",1.0
"303266,7395989",1.0
"303287,7387809",1.0
"303298,7388209",2.0
"303298,7391067",6.0
"303305,7386468",2.0
"303324,7395259",3.0
"303328,7395325",2.0
"303328,7395499",2.0
"303329,7406277",2.0
"303333,7405858",2.0
"303338,7395246",3.0
"303348,7395591",6.0
"303351,7394782",1.0
"303352,7390582",2.0
"303360,7405947",1.0
"303370,7388065",1.0
"303381,7405952",1.0
"303382,7364536",9.0
"303391,7405851",4.0
"303393,7393291",10.0
"303396,7396017",6.0
"303405,7365922",7.0
"303418,7388383",1.0
"303420,7395318",10.0
"303433,7397664",6.0
"303434,7397660",10.0
"303437,7388281",2.0
